"UUID","source_cat","country","period","case_definition_original","metadata_description","metadata_url","metadata_steps"
"WHOPAHO-BOL-20142022-W01-15","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-16","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-17","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-18","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-19","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-20","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-21","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-22","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-23","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-24","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-25","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-26","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-27","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-28","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-29","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-30","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-31","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-32","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-33","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-34","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-35","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-36","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-37","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-38","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-39","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-40","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-41","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-42","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-43","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-44","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-45","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-46","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-47","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-48","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-49","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-50","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-51","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-52","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-BOL-20142022-W01-53","WHOPAHO","Bolivia","20142022","Dengue with warning signs, without warning signs, severe and deaths","PAHO subnational data for Bolivia","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,dengue,sub-national,bolivia-dengue cases,cases and deaths by department, department=all, year=all, indicator=all, week=""relevant epi week according to file name""."
"WHOPAHO-CRI-20132019-Y01-00","WHOPAHO","Costa Rica","20132019","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Costa Rica","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-nacional-en/252-dengue-pais-ano-en.html",NA
"WHOPAHO-ECU-20182022-A01-01","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-02","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-03","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-04","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-05","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-06","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-07","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-08","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-09","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-10","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-11","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-12","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-13","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-14","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-15","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-16","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-17","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-18","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-19","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-22","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-23","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-ECU-20182022-A01-24","WHOPAHO","Ecuador","20182022","Suspected + probable + confirmed, non-severe & severe","PAHO subnational data for Ecuador","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, ecuador-dengue cases, cases and mortality by dengue button, provinces = select adm1 region name, year = ""relevant year by filename"", week = ""relevant week by filename"", move slider by week, hover on adm1 name and download option."
"WHOPAHO-MEX-20172022-SV_ALL01-00","WHOPAHO","Mexico","20172022","DSSA + DCSA + DG","PAHO subnational data for Mexico (all dengue)","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","PAHO,Dengue,Sub-national,Mexico, cases by epidemiological week,select area = all, select year = all, clinical classification = all, classification final = all."
"WHOPAHO-NIC-20042022-W01-01","WHOPAHO","Nicaragua","20042022","Confirmed + severe + deaths","PAHO subnational data for Nicaragua","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset."
"WHOPAHO-NIC-20042022-W01-02","WHOPAHO","Nicaragua","20042022","Confirmed + severe + deaths","PAHO subnational data for Nicaragua","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset."
"WHOPAHO-NIC-20042022-W01-03","WHOPAHO","Nicaragua","20042022","Confirmed + severe + deaths","PAHO subnational data for Nicaragua","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset."
"WHOPAHO-NIC-20042022-W01-04","WHOPAHO","Nicaragua","20042022","Confirmed + severe + deaths","PAHO subnational data for Nicaragua","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset."
"WHOPAHO-NIC-20042022-W01-05","WHOPAHO","Nicaragua","20042022","Confirmed + severe + deaths","PAHO subnational data for Nicaragua","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset."
"WHOPAHO-NIC-20042022-W01-06","WHOPAHO","Nicaragua","20042022","Confirmed + severe + deaths","PAHO subnational data for Nicaragua","https://www3.paho.org/data/index.php/en/mnu-topics/indicadores-dengue-en/dengue-subnacional-en.html","dengue, sub-national, nicaragua-dengue cases, ""Casos  y Muertes por Dengue"" tab, ""Silais"" = All, ""Ano"" = All, ""Semana"" = Move slider by 1 week increment and download all data each time. ""Suspected cases"" = Dengue_total for primary dataset."
